time,HI
2003-12-30,31.0637742232
2003-12-31,32.08913181520001
2004-01-01,34.2859950144
2004-01-02,32.821217030000014
2004-01-03,33.63514148750001
2004-01-04,35.236477795999974
2004-01-05,35.040466875200025
2004-01-06,33.88267901650003
2004-01-07,34.432444642399986
2004-01-08,30.402574903999987
2004-01-09,30.473616633
2004-01-10,31.20227744510004
2004-01-11,31.7732389337
2004-01-12,32.29381669040004
2004-01-13,32.092613124
2004-01-14,33.254259964
2004-01-15,33.044780123599985
2004-01-16,33.73786891400004
2004-01-17,34.243474164399984
2004-01-18,34.641375924100046
2004-01-19,35.39709246280003
2004-01-20,35.61417843280001
2004-01-21,33.51559269560003
2004-01-22,35.236477795999974
2004-01-23,34.68281290160002
2004-01-24,34.19587298599999
2004-01-25,34.06568902400003
2004-01-26,34.06568902400003
2004-01-27,34.95004016119999
2004-01-28,33.89122079800003
2004-01-29,34.975875683999995
2004-01-30,36.44278207999998
2004-01-31,35.4006745575
2004-02-01,35.45768470339998
2004-02-02,32.4355733594
2004-02-03,35.79486377240002
2004-02-04,38.25072393780003
2004-02-05,35.70997028810001
2004-02-06,33.21485472500002
2004-02-07,32.61004129160003
2004-02-08,33.84806949000003
2004-02-09,33.117276216399986
2004-02-10,36.10702156400006
2004-02-11,33.99409534400002
2004-02-12,34.39976506800002
2004-02-13,35.22669685559998
2004-02-14,35.71892500789997
2004-02-15,35.248160787499984
2004-02-16,34.106656274600006
2004-02-17,31.97301549360001
2004-02-18,34.81389255200003
2004-02-19,33.447732501500006
2004-02-20,32.757638109999995
2004-02-21,34.80460405130004
2004-02-22,32.636315703599976
2004-02-23,34.51201360999999
2004-02-24,34.51201360999999
2004-02-25,32.83839993999999
2004-02-26,32.462228023999984
2004-02-27,33.89122079800003
2004-02-28,33.447732501500006
2004-02-29,34.567618792000005
2004-03-01,34.786842295900016
2004-03-02,34.99803558500002
2004-03-03,34.43806935160002
2004-03-04,34.0090971455
2004-03-05,34.33496953310004
2004-03-06,35.11694260999999
2004-03-07,35.040466875200025
2004-03-08,35.985110668000004
2004-03-09,34.11257529999999
2004-03-10,33.88962788999994
2004-03-11,34.340170541300026
2004-03-12,36.31757161550006
2004-03-13,36.05520523999999
2004-03-14,39.751053087500026
2004-03-15,36.3902317289
2004-03-16,30.72865030239999
2004-03-17,30.044354532900048
2004-03-18,31.705105203800024
2004-03-19,33.37995784749997
2004-03-20,35.85317051480001
2004-03-21,34.51201360999999
2004-03-22,30.196940130000005
